users,dis_thread,dis_thread_internal,dis_thread_external,dis_contribution,dis_contribution_internal,dis_contribution_external
kshitiz-deloitte,1,0,1,0,0,0
LGerstla01,1,0,1,0,0,0
major2012ye,2,0,2,1,0,1
L-Net-1992,2,0,1,2,0,2
Autostone-c,11,0,9,7,2,5
hcn1519,1,0,1,0,0,0
JoonKi0111,3,0,2,0,0,0
SKT-r,1,0,0,0,0,0
prabanjanGITHUB,4,2,3,2,0,2
yuasabe,10,1,8,4,0,4
Tanishq30052002,2,1,2,4,2,2
JulioPlaced,1,0,1,0,0,0
yaukaizhi,4,0,3,3,0,3
zeidk,1,0,1,2,0,2
lishizhen1412,1,1,1,3,0,3
museas-azm,1,1,1,2,0,2
sarubito,1,1,1,0,0,0
inwoong32,2,0,2,0,0,0
egkim-kitech,1,0,0,0,0,0
DaikiNiimi,1,0,1,0,0,0
yoneyoneclub,1,0,1,0,0,0
J-xinyu,6,1,4,3,0,3
pojenwang,9,1,6,0,0,0
felixf4xu,9,1,8,2,1,1
polurik,1,0,1,0,0,0
tomaszkapron,1,0,1,2,0,2
oguzkaganozt,12,0,7,1,0,1
davidc0619,2,0,1,1,0,1
mosss-code,1,1,1,0,0,0
fiwz789,2,0,2,1,0,1
liangzhiqiang-lzq,1,0,1,0,0,0
ataparlar,1,0,0,0,0,0
AhmadAmine998,1,0,1,0,0,0
MlLearnerAkash,1,0,1,0,0,0
hoppss,1,1,1,1,1,0
radolin,2,0,2,0,0,0
lixianqiang,2,0,2,1,0,1
AElkenawy,1,0,1,0,0,0
xoofee,1,1,1,1,0,1
Kaipa-Charan,2,0,2,1,0,1
pflee2002,1,0,1,0,0,0
dilloncsr,1,0,1,0,0,0
hdossaji94,2,1,2,1,0,1
plainspoken-chris,1,0,1,0,0,0
yama42326,1,0,1,1,0,1
pandyah,1,0,1,0,0,0
hzkkk1997,6,0,5,7,1,6
hakanaktass,3,0,1,1,0,1
zzx568730371,1,0,1,0,0,0
Rumika685,1,0,1,0,0,0
MechanoPixel,1,0,1,0,0,0
okataka123,3,0,3,1,1,0
phoenixGG,1,0,1,0,0,0
yuntianyi-chen,2,0,2,3,0,3
lawbreaker2022,1,0,1,0,0,0
TAICHInoda,1,0,1,2,0,2
muratgozum45,4,0,4,5,0,5
norikenpi,2,0,2,3,0,3
whbcumtb,1,0,1,8,1,7
lorenzzhao,1,0,1,1,0,1
TobiasMascetta,1,0,1,0,0,0
eromreve123,1,0,1,1,0,1
dotun457,1,0,1,1,0,1
ziri4k,3,0,3,2,0,2
hliu869,2,0,2,1,0,1
mkakh,1,0,1,1,0,1
dong-hub-png,1,1,0,0,0,0
tianhuangshi,1,0,0,0,0,0
letsgoniaoniao,1,0,1,0,0,0
adi-driveu,1,1,1,1,1,0
WyjFrogi,1,0,1,0,0,0
yuanchao16,2,0,2,0,0,0
doyan00,1,0,1,0,0,0
aez99,1,0,1,0,0,0
IDS-zhangxr,1,0,1,0,0,0
danicannt,4,1,4,4,0,4
YashuMessi18,1,0,1,0,0,0
KASUYASU,1,0,1,0,0,0
wifo130,1,0,0,0,0,0
boyang9602,4,0,3,0,0,0
asana17,1,0,1,0,0,0
chavankunal,1,0,1,0,0,0
stefanofio,1,0,1,0,0,0
LouiMilvus,2,0,2,0,0,0
jieunko,1,0,0,0,0,0
klausmikealsontheking,1,0,0,0,0,0
tseco15,1,0,1,1,0,1
chivas1000,1,0,1,1,0,1
npnquang,1,1,1,1,0,1
badai-nguyen,1,1,0,4,1,3
danielsanchezaran,1,0,1,1,0,1
alexandrx,0,0,0,1,1,0
taikitanaka3,0,0,0,7,1,6
JWhitleyWork,0,0,0,3,1,2
boyali,0,0,0,1,0,1
hueirutseng,0,0,0,8,1,7
NaoyoriTanzawa,0,0,0,2,0,2
piotr-zyskowski-rai,0,0,0,0,0,0
aohsato,0,0,0,4,1,3
kei-t4,0,0,0,2,0,2
afaerber,0,0,0,1,1,0
LucaFos,0,0,0,1,0,1
YoshinoriTsutake,0,0,0,1,0,1
emi0116,0,0,0,1,0,1
yabuta,0,0,0,2,0,2
rej55,0,0,0,0,0,0
mschratter,0,0,0,0,0,0
FranzAlbers,0,0,0,0,0,0
cycyc1949,0,0,0,1,0,1
hect95,0,0,0,0,0,0
yukke42,0,0,0,7,0,7
lntsh854,0,0,0,0,0,0
JessicaTegner,0,0,0,0,0,0
HiroIshida,0,0,0,1,1,0
Danior2235,0,0,0,1,1,0
miursh,0,0,0,6,0,6
kfunaoka,0,0,0,1,0,1
zulfaqar-azmi-t4,0,0,0,9,1,8
JToolGD,0,0,0,0,0,0
phkarle,0,0,0,0,0,0
MertClk,0,0,0,5,0,5
sayondeep,0,0,0,2,0,2
wep21,0,0,0,3,0,3
hasanzfdn,0,0,0,0,0,0
greensky0802,0,0,0,1,0,1
YueChuCheng,0,0,0,0,0,0
paolacanuto,0,0,0,1,0,1
simon-t4,0,0,0,0,0,0
Shin-kyoto,0,0,0,5,1,4
liuypcoding,0,0,0,3,0,3
lsteinosk,0,0,0,1,0,1
ashishrrs,0,0,0,0,0,0
HarryMechatron,0,0,0,0,0,0
domajstorovic,0,0,0,1,0,1
tkhmy,0,0,0,0,0,0
manato,0,0,0,0,0,0
Madhuvd,0,0,0,1,0,1
djargot,0,0,0,1,0,1
cyhunblr,0,0,0,0,0,0
liuXinGangChina,0,0,0,9,1,8
urayuto,0,0,0,1,1,0
HansRobo,0,0,0,4,0,4
mackierx111,0,0,0,3,0,3
rolandvanvenrooy-tomtom,0,0,0,0,0,0
harihitode,0,0,0,3,1,2
guankou,0,0,0,0,0,0
caiyuexiang,0,0,0,1,0,1
mertbacaksiz,0,0,0,0,0,0
fengziHK,0,0,0,1,0,1
Tom-Li-Lee,0,0,0,0,0,0
sezan92,0,0,0,0,0,0
fadimecetiner,0,0,0,1,0,1
samet-kutuk,0,0,0,0,0,0
mgarnett21,0,0,0,0,0,0
ktro2828,0,0,0,3,0,3
jacksilb,0,0,0,1,0,1
amadeuszsz,0,0,0,1,0,1
villaoningfootball,0,0,0,2,0,2
liuzf1988,0,0,0,0,0,0
JonasHablitzel,0,0,0,0,0,0
sahapratik5656,0,0,0,1,1,0
ahuazuipiaoliang,0,0,0,3,1,2
kyoichi-sugahara,0,0,0,5,0,5
wbq0206,0,0,0,4,0,4
markusschratter,0,0,0,0,0,0
RamanaBotta,0,0,0,0,0,0
BritvaBo,0,0,0,1,0,1
pedrorito,0,0,0,0,0,0
kedarnadh-123,0,0,0,0,0,0
RogerJung,0,0,0,1,0,1
Levinskis,0,0,0,0,0,0
hakuturu583,0,0,0,1,0,1
gdengchao,0,0,0,1,0,1
YoshiRi,0,0,0,0,0,0
amc-nu,0,0,0,1,0,1
TUMGEKA,0,0,0,0,0,0
isouf,0,0,0,0,0,0
jerry73204,0,0,0,1,0,1
idorobotics,0,0,0,6,0,6
buraakozcan,0,0,0,2,1,1
jp-amaral,0,0,0,0,0,0
dylan-gonzalez,0,0,0,1,1,0
